"id","age","sex","y"
"723","79","2","1"
"724","38","1","1"
"725","48","2","1"
"726","47","2","1"
"727","69","2","1"
"728","66","2","1"
"729","42","2","0"
"730","49","1","0"
"731","39","1","0"
"732","28","1","0"
"733","60","1","1"
"734","79","2","1"
"735","77","2","1"
"736","66","1","1"
"737","79","1","1"
"738","57","1","1"
"739","27","1","0"
"740","63","2","1"
"741","36","1","0"
"742","26","2","1"
"743","63","2","1"
"744","40","2","1"
"745","47","2","1"
"746","35","2","0"
"747","70","2","1"
"748","50","2","1"
"749","79","1","1"
"750","44","2","0"
"751","21","2","0"
"752","72","2","1"
"753","41","2","0"
"754","25","2","0"
"755","41","2","1"
"756","49","2","0"
"757","41","2","0"
"758","36","1","0"
"759","38","2","1"
"760","60","1","0"
"761","46","1","1"
"762","29","2","1"
"763","46","1","0"
"764","61","1","1"
"765","30","2","1"
"766","63","2","1"
"767","26","2","1"
"768","37","2","0"
"769","29","2","1"
"770","73","1","0"
"771","80","1","0"
"772","40","2","1"
"773","57","1","1"
"774","28","1","0"
"775","66","2","1"
"776","47","1","0"
"777","76","2","1"
"778","39","2","0"
"779","64","1","1"
"780","66","1","1"
"781","58","2","1"
"782","70","1","0"
"783","36","2","1"
"784","69","1","1"
"785","37","1","0"
"786","74","1","0"
"787","63","1","1"
"788","73","1","0"
"789","36","1","0"
"790","60","1","1"
"791","51","2","1"
"792","53","2","1"
"793","32","1","0"
"794","41","1","0"
"795","27","2","1"
"796","53","2","1"
"797","43","2","0"
"798","34","1","0"
"799","23","2","0"
"800","49","1","1"
"801","35","1","0"
"802","69","1","1"
"803","42","1","0"
"804","41","2","0"
"805","59","1","0"
"806","32","1","0"
"807","80","2","1"
"808","45","2","1"
"809","25","2","0"
"810","27","2","1"
"811","41","1","0"
"812","43","1","0"
"813","69","1","0"
"814","79","2","0"
"815","49","2","0"
"816","48","1","0"
"817","68","2","1"
"818","61","2","1"
"819","77","1","1"
"820","65","2","1"
"821","74","2","1"
"822","36","1","1"
"823","53","1","0"
"824","78","2","0"
"825","33","1","0"
"826","28","1","0"
"827","80","2","1"
"828","58","2","1"
"829","28","2","0"
"830","62","2","1"
"831","30","2","1"
"832","61","2","1"
"833","75","2","1"
"834","53","1","0"
"835","78","2","1"
"836","32","2","0"
"837","23","1","0"
"838","57","2","1"
"839","78","2","1"
"840","22","2","1"
"841","30","1","0"
"842","65","1","0"
"843","37","1","0"
"844","27","2","1"
"845","63","1","1"
"846","37","1","0"
"847","32","1","0"
"848","30","1","0"
"849","31","2","1"
"850","47","2","1"
"851","60","2","1"
"852","78","2","1"
"853","72","2","1"
"854","46","1","0"
"855","51","1","0"
"856","36","2","0"
"857","65","2","1"
"858","77","1","0"
"859","53","1","1"
"860","73","1","0"
"861","65","1","0"
"862","28","2","0"
"863","42","1","0"
"864","45","2","1"
"865","76","2","1"
"866","50","2","1"
"867","59","1","1"
"868","63","2","1"
"869","60","2","1"
"870","30","1","0"
"871","66","2","1"
"872","42","1","0"
"873","51","2","1"
"874","48","1","0"
"875","65","2","1"
"876","44","2","0"
"877","64","1","1"
"878","46","2","1"
"879","77","1","0"
"880","51","2","1"
"881","60","2","1"
"882","68","1","1"
"883","21","1","0"
"884","58","2","1"
"885","30","1","0"
"886","71","2","1"
"887","66","2","1"
"888","36","1","0"
"889","23","2","1"
"890","43","2","1"
"891","67","1","1"
"892","66","2","1"
"893","49","1","0"
"894","25","1","0"
"895","76","2","1"
"896","49","2","0"
"897","54","1","1"
"898","44","2","0"
"899","37","1","1"
"900","30","1","1"
"901","78","2","1"
"902","42","1","0"
"903","75","1","1"
"904","48","1","0"
"905","55","1","1"
"906","49","2","1"
"907","62","1","0"
"908","80","2","1"
"909","76","1","1"
"910","59","2","1"
"911","45","1","0"
"912","29","2","1"
"913","47","2","0"
"914","70","2","1"
"915","69","1","0"
"916","54","2","1"
"917","42","1","0"
"918","27","2","0"
"919","49","2","0"
"920","23","2","0"
"921","67","1","0"
"922","69","1","0"
"923","61","2","1"
"924","77","1","0"
"925","65","2","1"
"926","73","2","0"
"927","29","2","1"
"928","22","2","1"
"929","64","1","1"
"930","53","2","1"
"931","53","1","0"
"932","24","1","0"
"933","60","1","1"
"934","30","1","0"
"935","65","2","1"
"936","40","2","0"
"937","40","2","1"
"938","61","1","1"
"939","47","1","0"
"940","28","1","1"
"941","37","2","1"
"942","24","1","0"
"943","46","2","0"
"944","77","2","1"
"945","49","2","1"
"946","53","1","0"
"947","37","2","1"
"948","65","2","1"
"949","74","1","0"
"950","38","1","0"
"951","65","1","0"
"952","70","1","0"
"953","75","1","1"
"954","28","1","1"
"955","70","2","1"
"956","69","2","1"
"957","54","2","1"
"958","44","2","0"
"959","35","1","1"
"960","22","1","0"
"961","43","1","0"
"962","70","1","1"
"963","23","2","0"
"964","63","2","1"
"965","44","1","0"
"966","72","1","1"
"967","30","2","1"
"968","32","1","0"
"969","47","2","0"
"970","59","2","1"
"971","74","1","0"
"972","54","2","1"
"973","26","2","1"
"974","66","2","1"
"975","54","1","1"
"976","53","1","0"
"977","80","2","1"
"978","42","1","0"
"979","67","1","1"
"980","70","1","1"
"981","70","2","1"
"982","61","1","1"
"983","72","1","1"
"984","37","1","0"
"985","65","1","0"
"986","79","2","1"
"987","57","1","1"
"988","30","1","0"
"989","77","2","1"
"990","37","2","1"
"991","50","1","0"
"992","60","1","1"
"993","69","1","1"
"994","26","2","0"
"995","77","1","0"
"996","54","1","1"
"997","74","1","1"
"998","70","1","1"
"999","46","1","1"
"1000","60","1","1"
"1001","23","1","0"
"1002","31","1","0"
"1003","64","1","0"
"1004","31","2","1"
"1005","60","1","0"
"1006","69","1","0"
"1007","26","2","1"
"1008","79","2","1"
"1009","58","2","1"
"1010","34","1","0"
"1011","35","1","1"
"1012","51","1","1"
"1013","70","2","1"
"1014","59","2","1"
"1015","63","1","0"
"1016","60","2","1"
"1017","28","2","1"
"1018","56","2","1"
"1019","60","2","1"
"1020","52","1","0"
"1021","57","2","1"
"1022","49","1","0"
"1023","52","1","1"
"1024","32","2","0"
"1025","44","2","1"
"1026","43","1","0"
"1027","64","2","1"
"1028","50","1","0"
"1029","39","1","0"
"1030","21","2","1"
"1031","29","2","1"
"1032","58","2","1"
"1033","65","2","1"
"1034","71","2","0"
"1035","23","1","0"
"1036","56","1","0"
"1037","73","2","1"
"1038","56","2","1"
"1039","41","2","0"
"1040","77","2","1"
"1041","61","1","0"
"1042","56","2","1"
"1043","73","1","1"
"1044","61","2","1"
"1045","63","2","1"
"1046","51","1","0"
"1047","44","2","1"
"1048","47","1","1"
"1049","24","1","0"
"1050","77","2","1"
"1051","53","2","1"
"1052","73","2","1"
"1053","67","2","1"
"1054","35","1","0"
"1055","72","2","1"
"1056","55","1","1"
"1057","41","1","0"
"1058","76","2","0"
"1059","58","1","0"
"1060","43","1","0"
"1061","76","2","1"
"1062","56","2","1"
"1063","31","1","1"
"1064","23","1","1"
"1065","61","2","1"
"1066","39","1","0"
"1067","50","1","0"
"1068","55","2","1"
"1069","41","1","0"
"1070","23","1","0"
"1071","27","2","1"
"1072","45","2","0"
"1073","66","1","1"
"1074","56","2","1"
"1075","58","2","1"
"1076","45","2","1"
"1077","30","1","0"
"1078","53","2","1"
"1079","36","1","0"
"1080","61","1","0"
"1081","55","1","1"
"1082","70","1","0"
"1083","48","1","0"
"1084","69","2","0"
"1085","60","2","1"
"1086","73","1","0"
"1087","45","2","0"
"1088","43","1","0"
"1089","59","1","1"
"1090","26","2","0"
"1091","50","2","0"
"1092","34","2","0"
"1093","57","2","1"
"1094","43","1","0"
"1095","23","1","0"
"1096","25","1","0"
"1097","34","2","1"
"1098","76","2","0"
"1099","21","1","0"
"1100","34","2","1"
"1101","26","1","0"
"1102","65","1","1"
"1103","52","2","1"
"1104","41","2","0"
"1105","30","1","0"
"1106","63","1","0"
"1107","28","2","1"
"1108","49","2","1"
"1109","21","1","0"
"1110","55","1","1"
"1111","75","2","1"
"1112","68","1","1"
"1113","37","1","0"
"1114","79","1","1"
"1115","25","2","1"
"1116","46","1","0"
"1117","72","1","0"
"1118","27","2","1"
"1119","73","1","1"
"1120","29","2","1"
"1121","22","1","0"
"1122","61","1","1"
"1123","41","2","1"
"1124","62","2","1"
"1125","45","1","0"
"1126","77","2","1"
"1127","55","2","1"
"1128","78","1","1"
"1129","30","2","1"
"1130","73","2","1"
"1131","74","1","0"
"1132","73","1","1"
"1133","63","1","0"
"1134","73","1","0"
"1135","38","2","1"
"1136","70","1","1"
"1137","36","1","0"
"1138","66","1","1"
"1139","27","1","1"
"1140","31","1","1"
"1141","55","2","1"
"1142","42","2","1"
"1143","23","2","1"
"1144","30","1","0"
"1145","57","2","1"
"1146","55","2","1"
"1147","26","1","0"
"1148","63","1","1"
"1149","36","1","0"
"1150","30","1","1"
"1151","22","2","0"
"1152","60","2","1"
"1153","32","2","1"
"1154","80","1","1"
"1155","45","1","1"
"1156","23","1","0"
"1157","76","2","1"
"1158","54","1","0"
"1159","24","2","1"
"1160","53","2","1"
"1161","52","2","1"
"1162","24","1","0"
"1163","61","2","1"
"1164","35","2","0"
"1165","31","2","0"
"1166","27","1","1"
"1167","23","1","0"
"1168","70","2","1"
"1169","25","2","1"
"1170","70","1","1"
"1171","76","2","1"
"1172","32","2","0"
"1173","28","2","1"
"1174","22","1","1"
"1175","66","1","0"
"1176","67","2","1"
"1177","57","1","0"
"1178","62","1","0"
"1179","57","2","1"
"1180","22","2","0"
"1181","36","2","1"
"1182","33","2","0"
"1183","35","1","0"
"1184","55","1","1"
"1185","30","1","1"
"1186","25","1","0"
"1187","73","1","1"
"1188","31","1","0"
"1189","34","2","1"
"1190","57","2","1"
"1191","42","1","0"
"1192","78","2","1"
"1193","65","2","1"
"1194","72","1","1"
"1195","26","1","1"
"1196","69","1","0"
"1197","70","1","1"
"1198","61","2","1"
"1199","74","2","1"
"1200","48","1","0"
"1201","55","2","1"
"1202","51","1","1"
"1203","70","2","1"
"1204","59","1","0"
"1205","62","2","1"
"1206","53","2","1"
"1207","60","2","1"
"1208","62","1","1"
"1209","48","2","1"
"1210","31","1","0"
"1211","53","1","0"
"1212","30","2","0"
"1213","29","2","0"
"1214","35","2","1"
"1215","67","2","1"
"1216","34","1","0"
"1217","63","1","1"
"1218","74","1","0"
"1219","44","1","0"
"1220","34","2","0"
"1221","76","2","1"
"1222","80","2","1"
"1223","33","2","0"
"1224","79","1","1"
"1225","42","2","1"
"1226","70","1","0"
"1227","27","2","1"
"1228","23","2","1"
"1229","68","1","0"
"1230","77","2","1"
"1231","39","2","1"
"1232","60","1","0"
"1233","45","1","0"
"1234","26","2","1"
"1235","32","2","0"
"1236","60","1","0"
"1237","67","2","1"
"1238","72","1","1"
"1239","22","2","1"
"1240","50","1","0"
"1241","44","1","0"
"1242","48","1","0"
"1243","30","2","0"
"1244","45","1","1"
"1245","56","2","1"
"1246","62","1","1"
"1247","65","1","0"
"1248","58","1","1"
"1249","74","2","1"
"1250","58","2","1"
"1251","46","1","0"
"1252","35","1","0"
"1253","75","2","1"
"1254","72","2","1"
"1255","54","2","1"
"1256","33","1","0"
"1257","41","1","0"
"1258","25","1","1"
"1259","40","2","1"
"1260","46","1","0"
"1261","28","1","0"
"1262","42","1","0"
"1263","44","1","0"
"1264","73","2","1"
"1265","36","2","1"
"1266","59","2","1"
"1267","48","1","0"
"1268","40","2","0"
"1269","35","1","1"
"1270","33","1","0"
"1271","41","1","1"
"1272","25","2","0"
"1273","39","2","0"
"1274","39","1","1"
"1275","59","2","1"
"1276","37","1","0"
"1277","49","1","0"
"1278","53","2","1"
"1279","36","2","0"
"1280","61","2","1"
"1281","57","1","1"
"1282","24","1","0"
"1283","47","2","1"
"1284","21","2","1"
"1285","62","2","0"
"1286","51","2","1"
"1287","47","1","0"
"1288","61","2","0"
"1289","24","2","0"
"1290","33","2","1"
"1291","72","2","1"
"1292","64","2","1"
"1293","22","2","0"
"1294","74","1","0"
"1295","49","2","1"
"1296","58","1","1"
"1297","65","1","1"
"1298","71","2","1"
"1299","22","2","0"
"1300","50","2","0"
"1301","47","2","0"
"1302","65","1","0"
"1303","45","1","0"
"1304","69","1","0"
"1305","68","2","1"
"1306","55","1","0"
"1307","51","2","1"
"1308","67","1","0"
"1309","44","2","0"
"1310","58","2","1"
"1311","76","2","1"
"1312","66","2","1"
"1313","25","1","1"
"1314","21","1","1"
"1315","70","1","1"
"1316","28","2","0"
"1317","28","1","1"
"1318","37","2","1"
"1319","79","2","1"
"1320","26","2","0"
"1321","48","1","0"
"1322","23","2","0"
"1323","71","1","1"
"1324","26","1","1"
"1325","74","2","1"
"1326","34","2","1"
"1327","46","1","1"
"1328","49","1","1"
"1329","26","2","1"
"1330","21","1","0"
"1331","66","1","1"
"1332","70","1","1"
"1333","69","1","1"
"1334","56","2","1"
"1335","53","2","1"
"1336","74","2","1"
"1337","72","1","0"
"1338","59","2","1"
"1339","59","2","1"
"1340","39","2","1"
"1341","54","2","1"
"1342","75","2","1"
"1343","71","2","1"
"1344","53","1","1"
"1345","31","2","0"
"1346","34","2","1"
"1347","53","1","1"
"1348","28","2","1"
"1349","75","2","1"
"1350","36","2","1"
"1351","52","2","0"
"1352","71","2","1"
"1353","59","2","1"
"1354","60","2","1"
"1355","46","2","0"
"1356","27","1","1"
"1357","36","2","1"
"1358","80","1","1"
"1359","33","2","0"
"1360","79","2","1"
"1361","43","1","0"
